FIPS_Code,State,Area_name,POVALL_2021,PCTPOVALL_2021
01000,AL,Alabama,800848,16.3
01001,AL,Autauga County,6296,10.7
01003,AL,Baldwin County,25526,10.8
01005,AL,Barbour County,5089,23
01007,AL,Bibb County,4204,20.6
01009,AL,Blount County,6992,12
01011,AL,Bullock County,2764,32.1
1013,AL,Butler County,4226,22.7
01015,AL,Calhoun County,21630,19.2
01017,AL,Chambers County,6699,19.7
01019,AL,Cherokee County,4513,18.2
01021,AL,Chilton County,6973,15.5
01023,AL,Choctaw County,2893,23.3
01025,AL,Clarke County,4366,19.4
01027,AL,Clay County,2560,18.4
01029,AL,Cleburne County,2236,15
01031,AL,Coffee County,8516,15.9
01033,AL,Colbert County,9396,16.5
01035,AL,Conecuh County,2528,22.4
01037,AL,Coosa County,1754,17.1
01039,AL,Covington County,7317,19.8
01041,AL,Crenshaw County,2267,17.5
01043,AL,Cullman County,11898,13.5
01045,AL,Dale County,7587,15.7
01047,AL,Dallas County,10914,29.5
01049,AL,DeKalb County,13783,19.4
01051,AL,Elmore County,10138,12
01053,AL,Escambia County,8147,23.8
01055,AL,Etowah County,17605,17.4
01057,AL,Fayette County,3123,19.6
01059,AL,Franklin County,5995,18.9
01061,AL,Geneva County,5566,21.1
01063,AL,Greene County,2520,33.2
01065,AL,Hale County,3221,22.1
01067,AL,Henry County,2694,15.6
01069,AL,Houston County,20210,19.1
01071,AL,Jackson County,9851,18.9
01073,AL,Jefferson County,110131,16.9
01075,AL,Lamar County,2300,17
01077,AL,Lauderdale County,14838,16.2
01079,AL,Lawrence County,4566,13.9
01081,AL,Lee County,30989,18
01083,AL,Limestone County,10363,9.9
01085,AL,Lowndes County,2786,28.3
01087,AL,Macon County,4725,27.5
01089,AL,Madison County,39316,10.2
01091,AL,Marengo County,4602,24.6
01093,AL,Marion County,5209,18.3
01095,AL,Marshall County,15145,15.6
01097,AL,Mobile County,74061,18.2
01099,AL,Monroe County,4349,22.3
01101,AL,Montgomery County,47309,21.7
01103,AL,Morgan County,16459,13.5
01105,AL,Perry County,2591,33.7
01107,AL,Pickens County,3591,21.1
01109,AL,Pike County,7429,23.9
01111,AL,Randolph County,4652,21.5
01113,AL,Russell County,12620,21.7
01115,AL,St. Clair County,11652,12.8
01117,AL,Shelby County,17306,7.7
01119,AL,Sumter County,4005,35.1
01121,AL,Talladega County,14936,19.1
01123,AL,Tallapoosa County,7420,18.3
01125,AL,Tuscaloosa County,31735,14.7
01127,AL,Walker County,12877,20.2
01129,AL,Washington County,3091,20.6
01131,AL,Wilcox County,3340,32.4
01133,AL,Winston County,4455,19
02000,AK,Alaska,77736,10.8
02013,AK,Aleutians East Borough,625,18.4
02016,AK,Aleutians West Census Area,505,10.4
02020,AK,Anchorage Borough,26920,9.5
02050,AK,Bethel Census Area,4496,24.6
02060,AK,Bristol Bay Borough,93,11.3
02063,AK,Chugach Census Area,530,7.7
02066,AK,Copper River Census Area,375,14.3
02068,AK,Denali Borough,115,7.5
02070,AK,Dillingham Census Area,1033,21.8
02090,AK,Fairbanks North Star Borough,7247,7.9
02100,AK,Haines Borough,223,10.8
02105,AK,Hoonah-Angoon Census Area,395,17
02110,AK,Juneau Borough,2378,7.6
02122,AK,Kenai Peninsula Borough,6729,11.5
02130,AK,Ketchikan Gateway Borough,1529,11.3
02150,AK,Kodiak Island Borough,1072,8.5
02158,AK,Kusilvak Census Area,2534,30.4
02164,AK,Lake and Peninsula Borough,290,20.6
02170,AK,Matanuska-Susitna Borough,11453,10.5
02180,AK,Nome Census Area,1920,19.8
02185,AK,North Slope Borough,1354,12.4
02188,AK,Northwest Arctic Borough,1560,20.9
02195,AK,Petersburg Borough,269,8
02198,AK,Prince of Wales-Hyder Census Area,859,15
02220,AK,Sitka Borough,717,8.6
02230,AK,Skagway Municipality,69,6.1
02240,AK,Southeast Fairbanks Census Area,890,12.9
02275,AK,Wrangell City and Borough,231,11.3
02282,AK,Yakutat Borough,86,12.2
02290,AK,Yukon-Koyukuk Census Area,1240,23.7
04000,AZ,Arizona,919680,12.9
04001,AZ,Apache County,18422,28.4
04003,AZ,Cochise County,20618,17.1
04005,AZ,Coconino County,22677,16.9
04007,AZ,Gila County,8900,16.8
04009,AZ,Graham County,7385,20.4
04011,AZ,Greenlee County,886,9.5
04012,AZ,La Paz County,3303,20.3
04013,AZ,Maricopa County,502224,11.3
04015,AZ,Mohave County,38383,18
04017,AZ,Navajo County,26324,24.8
04019,AZ,Pima County,151169,14.7
04021,AZ,Pinal County,45630,10.7
04023,AZ,Santa Cruz County,9723,20.4
04025,AZ,Yavapai County,29766,12.5
04027,AZ,Yuma County,34270,17.3
05000,AR,Arkansas,471195,16
05001,AR,Arkansas County,2923,17.7
05003,AR,Ashley County,3950,21.3
05005,AR,Baxter County,5565,13.4
05007,AR,Benton County,22890,7.9
05009,AR,Boone County,4860,13
05011,AR,Bradley County,2011,19.6
05013,AR,Calhoun County,672,14.6
05015,AR,Carroll County,4717,16.8
05017,AR,Chicot County,2594,27.9
05019,AR,Clark County,3699,20
05021,AR,Clay County,2543,17.9
05023,AR,Cleburne County,4109,16.7
05025,AR,Cleveland County,1054,14.1
05027,AR,Columbia County,4777,23.2
05029,AR,Conway County,3494,16.9
05031,AR,Craighead County,19674,18.2
05033,AR,Crawford County,8790,14.7
05035,AR,Crittenden County,10706,23
05037,AR,Cross County,2738,16.7
05039,AR,Dallas County,1213,20.2
05041,AR,Desha County,3032,27.6
05043,AR,Drew County,2715,16.5
05045,AR,Faulkner County,16486,13.6
05047,AR,Franklin County,2908,17.2
05049,AR,Fulton County,2157,18
05051,AR,Garland County,14319,14.5
05053,AR,Grant County,2017,11.2
05055,AR,Greene County,5898,12.9
05057,AR,Hempstead County,4125,21.2
05059,AR,Hot Spring County,5521,17.8
05061,AR,Howard County,2245,17.9
05063,AR,Independence County,6924,18.9
05065,AR,Izard County,2384,18.4
05067,AR,Jackson County,3316,22.5
05069,AR,Jefferson County,12258,20.3
05071,AR,Johnson County,4570,18.1
05073,AR,Lafayette County,1448,23.7
05075,AR,Lawrence County,3193,20.4
05077,AR,Lee County,2448,34.9
05079,AR,Lincoln County,2160,22.6
05081,AR,Little River County,1854,15.7
05083,AR,Logan County,3204,15.4
05085,AR,Lonoke County,8161,11
05087,AR,Madison County,2587,15.4
05089,AR,Marion County,2986,17.8
05091,AR,Miller County,8483,20.4
05093,AR,Mississippi County,9276,23.9
05095,AR,Monroe County,1667,25.3
05097,AR,Montgomery County,1692,19.9
05099,AR,Nevada County,1705,21.2
05101,AR,Newton County,1366,19.1
05103,AR,Ouachita County,4437,20.2
05105,AR,Perry County,1500,15.2
05107,AR,Phillips County,5623,35.7
05109,AR,Pike County,1844,18.6
05111,AR,Poinsett County,4948,22.2
05113,AR,Polk County,3697,19.3
05115,AR,Pope County,10897,18
05117,AR,Prairie County,1257,15.7
05119,AR,Pulaski County,68564,17.6
05121,AR,Randolph County,3141,17
05123,AR,St. Francis County,6108,32.2
05125,AR,Saline County,10572,8.5
05127,AR,Scott County,1681,17.3
