year,fips,population,w_population,b_population,o_population,nh_population,hi_population,na_population,male_population,female_population,age0_population,age1_population,age2_population,age3_population,age4_population,age5_population,age6_population,age7_population,age8_population,age9_population,age10_population,age11_population,age12_population,age13_population,age14_population,age15_population,age16_population,age17_population,age18_population,w_population_ratio,b_population_ratio,o_population_ratio,nh_population_ratio,hi_population_ratio,na_population_ratio,male_population_ratio,female_population_ratio,age0_population_ratio,age1_population_ratio,age2_population_ratio,age3_population_ratio,age4_population_ratio,age5_population_ratio,age6_population_ratio,age7_population_ratio,age8_population_ratio,age9_population_ratio,age10_population_ratio,age11_population_ratio,age12_population_ratio,age13_population_ratio,age14_population_ratio,age15_population_ratio,age16_population_ratio,age17_population_ratio,age18_population_ratio
2020,01043,84515.0,81799.0,1400.0,639.0,80680.0,3835.0,0.0,41789.0,42726.0,945.0,4083.0,5268.0,5268.0,4971.0,4693.0,5546.0,5475.0,4914.0,5137.0,5274.0,5340.0,5818.0,5642.0,5025.0,4490.0,3141.0,1990.0,1495.0,0.96786,0.01657,0.00756,0.95462,0.04538,0.0,0.49446,0.50554,0.01118,0.04831,0.06233,0.06233,0.05882,0.05553,0.06562,0.06478,0.05814,0.06078,0.0624,0.06318,0.06884,0.06676,0.05946,0.05313,0.03717,0.02355,0.01769
2020,01045,48959.0,36816.0,10747.0,454.0,45563.0,3396.0,0.0,23980.0,24979.0,635.0,2600.0,3152.0,2997.0,2845.0,3172.0,3645.0,3540.0,2939.0,2690.0,2849.0,2798.0,3082.0,3282.0,2726.0,2330.0,1683.0,1052.0,942.0,0.75198,0.21951,0.00927,0.93064,0.06936,0.0,0.4898,0.5102,0.01297,0.05311,0.06438,0.06121,0.05811,0.06479,0.07445,0.07231,0.06003,0.05494,0.05819,0.05715,0.06295,0.06704,0.05568,0.04759,0.03438,0.02149,0.01924
2020,01071,51582.0,48103.0,2042.0,1049.0,49976.0,1606.0,0.0,25314.0,26268.0,555.0,2256.0,2781.0,3039.0,2998.0,2759.0,3117.0,2827.0,2846.0,3128.0,3454.0,3368.0,3645.0,3912.0,3434.0,2941.0,2157.0,1339.0,1026.0,0.93255,0.03959,0.02034,0.96887,0.03113,0.0,0.49075,0.50925,0.01076,0.04374,0.05391,0.05892,0.05812,0.05349,0.06043,0.05481,0.05517,0.06064,0.06696,0.06529,0.07066,0.07584,0.06657,0.05702,0.04182,0.02596,0.01989
2020,01083,102228.0,84208.0,14873.0,944.0,95890.0,6338.0,0.0,51059.0,51169.0,1025.0,4562.0,6187.0,6675.0,6226.0,5647.0,6592.0,6790.0,7115.0,6890.0,7062.0,7311.0,7439.0,6619.0,5189.0,4460.0,3008.0,1860.0,1571.0,0.82373,0.14549,0.00923,0.938,0.062,0.0,0.49946,0.50054,0.01003,0.04463,0.06052,0.0653,0.0609,0.05524,0.06448,0.06642,0.0696,0.0674,0.06908,0.07152,0.07277,0.06475,0.05076,0.04363,0.02942,0.01819,0.01537
2020,01099,20459.0,11467.0,8611.0,275.0,20119.0,340.0,0.0,9700.0,10759.0,181.0,830.0,1143.0,1258.0,1268.0,1264.0,1226.0,995.0,1076.0,1130.0,1300.0,1278.0,1501.0,1561.0,1427.0,1113.0,854.0,516.0,538.0,0.56049,0.42089,0.01344,0.98338,0.01662,0.0,0.47412,0.52588,0.00885,0.04057,0.05587,0.06149,0.06198,0.06178,0.05992,0.04863,0.05259,0.05523,0.06354,0.06247,0.07337,0.0763,0.06975,0.0544,0.04174,0.02522,0.0263
2020,02068,2081.0,1760.0,79.0,121.0,1997.0,84.0,0.0,1136.0,945.0,14.0,69.0,108.0,109.0,81.0,106.0,188.0,178.0,164.0,158.0,170.0,151.0,189.0,132.0,132.0,57.0,36.0,26.0,13.0,0.84575,0.03796,0.05815,0.95963,0.04037,0.0,0.54589,0.45411,0.00673,0.03316,0.0519,0.05238,0.03892,0.05094,0.09034,0.08554,0.07881,0.07593,0.08169,0.07256,0.09082,0.06343,0.06343,0.02739,0.0173,0.01249,0.00625
2020,02090,95651.0,75472.0,6335.0,9410.0,87896.0,7755.0,0.0,51559.0,44092.0,1410.0,5395.0,6586.0,5960.0,5603.0,9638.0,9524.0,8020.0,7199.0,5433.0,4771.0,4624.0,5209.0,5052.0,4466.0,3239.0,1856.0,940.0,726.0,0.78904,0.06623,0.09838,0.91892,0.08108,0.0,0.53903,0.46097,0.01474,0.0564,0.06885,0.06231,0.05858,0.10076,0.09957,0.08385,0.07526,0.0568,0.04988,0.04834,0.05446,0.05282,0.04669,0.03386,0.0194,0.00983,0.00759
2020,02170,110213.0,95095.0,2392.0,9835.0,104144.0,6069.0,0.0,57191.0,53022.0,1367.0,5919.0,8042.0,8551.0,7432.0,6107.0,7583.0,8007.0,8193.0,7087.0,6635.0,6458.0,7253.0,7133.0,5989.0,3944.0,2347.0,1211.0,955.0,0.86283,0.0217,0.08924,0.94493,0.05507,0.0,0.51891,0.48109,0.0124,0.05371,0.07297,0.07759,0.06743,0.05541,0.0688,0.07265,0.07434,0.0643,0.0602,0.0586,0.06581,0.06472,0.05434,0.03579,0.0213,0.01099,0.00867
2020,02188,7644.0,1000.0,154.0,6377.0,7444.0,200.0,0.0,4134.0,3510.0,160.0,632.0,850.0,751.0,589.0,498.0,605.0,613.0,424.0,386.0,350.0,410.0,428.0,354.0,214.0,146.0,84.0,71.0,79.0,0.13082,0.02015,0.83425,0.97384,0.02616,0.0,0.54082,0.45918,0.02093,0.08268,0.1112,0.09825,0.07705,0.06515,0.07915,0.08019,0.05547,0.0505,0.04579,0.05364,0.05599,0.04631,0.028,0.0191,0.01099,0.00929,0.01033
2020,02230,1179.0,1025.0,25.0,90.0,1103.0,76.0,0.0,615.0,564.0,6.0,46.0,60.0,51.0,29.0,35.0,96.0,109.0,148.0,114.0,73.0,88.0,62.0,79.0,71.0,42.0,36.0,18.0,16.0,0.86938,0.0212,0.07634,0.93554,0.06446,0.0,0.52163,0.47837,0.00509,0.03902,0.05089,0.04326,0.0246,0.02969,0.08142,0.09245,0.12553,0.09669,0.06192,0.07464,0.05259,0.06701,0.06022,0.03562,0.03053,0.01527,0.01357
2020,02240,6957.0,5506.0,206.0,986.0,6443.0,514.0,0.0,3791.0,3166.0,97.0,406.0,544.0,477.0,406.0,319.0,454.0,500.0,452.0,439.0,366.0,461.0,464.0,460.0,427.0,316.0,194.0,107.0,68.0,0.79143,0.02961,0.14173,0.92612,0.07388,0.0,0.54492,0.45508,0.01394,0.05836,0.07819,0.06856,0.05836,0.04585,0.06526,0.07187,0.06497,0.0631,0.05261,0.06626,0.0667,0.06612,0.06138,0.04542,0.02789,0.01538,0.00977
2020,05003,19339.0,14243.0,4855.0,159.0,18176.0,1163.0,0.0,9376.0,9963.0,220.0,886.0,1222.0,1274.0,1147.0,1032.0,1092.0,1029.0,988.0,1104.0,1211.0,1232.0,1418.0,1303.0,1213.0,1102.0,890.0,551.0,425.0,0.73649,0.25105,0.00822,0.93986,0.06014,0.0,0.48482,0.51518,0.01138,0.04581,0.06319,0.06588,0.05931,0.05336,0.05647,0.05321,0.05109,0.05709,0.06262,0.06371,0.07332,0.06738,0.06272,0.05698,0.04602,0.02849,0.02198
2020,05007,288774.0,258969.0,7142.0,6243.0,238929.0,49845.0,0.0,143983.0,144791.0,3849.0,16034.0,20585.0,21529.0,19086.0,16685.0,21301.0,22029.0,22139.0,19812.0,18022.0,16780.0,16255.0,14892.0,12638.0,10703.0,7321.0,4565.0,4549.0,0.89679,0.02473,0.02162,0.82739,0.17261,0.0,0.4986,0.5014,0.01333,0.05552,0.07128,0.07455,0.06609,0.05778,0.07376,0.07628,0.07667,0.06861,0.06241,0.05811,0.05629,0.05157,0.04376,0.03706,0.02535,0.01581,0.01575
2020,05043,17977.0,12593.0,5139.0,101.0,17279.0,698.0,0.0,8772.0,9205.0,244.0,899.0,1054.0,1051.0,1279.0,1706.0,1212.0,1002.0,1032.0,978.0,942.0,986.0,1208.0,1102.0,996.0,790.0,618.0,441.0,437.0,0.70051,0.28587,0.00562,0.96117,0.03883,0.0,0.48796,0.51204,0.01357,0.05001,0.05863,0.05846,0.07115,0.0949,0.06742,0.05574,0.05741,0.0544,0.0524,0.05485,0.0672,0.0613,0.0554,0.04395,0.03438,0.02453,0.02431
2020,05047,17897.0,17134.0,240.0,296.0,17283.0,614.0,0.0,8940.0,8957.0,172.0,802.0,1088.0,1188.0,1175.0,1030.0,1016.0,998.0,1053.0,1054.0,1088.0,1086.0,1273.0,1228.0,1103.0,905.0,677.0,495.0,466.0,0.95737,0.01341,0.01654,0.96569,0.03431,0.0,0.49953,0.50047,0.00961,0.04481,0.06079,0.06638,0.06565,0.05755,0.05677,0.05576,0.05884,0.05889,0.06079,0.06068,0.07113,0.06861,0.06163,0.05057,0.03783,0.02766,0.02604
